Item,TypeID,Volume_m3,Region_1,Region_2,Buy1,Sell1,Buy2,Sell2,Fee_per_m3,Profit_1,Profit_2,Profit_3,Profit_4,ROI_1,ROI_2,ROI_3,ROI_4,Timestamp
True Sansha Warp Disruptor,14248,5.0,jita,C-J6MT,108500000.0,122700000.0,72790000.0,146000000.0,1200,-35716000.0,-49916000.0,37494000.0,23294000.0,-0.32916152102187896,-0.40679347383176045,0.34554771164728215,0.18983586784672307,2026-06-12 14:13:41.833853
Federation Navy Stasis Webifier,17559,5.0,jita,C-J6MT,48990000.0,50350000.0,42280000.0,61600000.0,1200,-6716000.0,-8076000.0,12604000.0,11244000.0,-0.13707241407461834,-0.1603781078719517,0.25724548942770836,0.22329017396139486,2026-06-12 14:13:40.223673
Medium Hydraulic Bay Thrusters II,31606,10.0,jita,C-J6MT,21250000.0,21440000.0,5125000.0,29630000.0,1200,-16137000.0,-16327000.0,8368000.0,8178000.0,-0.7589596463173737,-0.7610945366399403,0.39356598626657885,0.3812231959724035,2026-06-12 14:13:40.771808
Eifyr and Co. 'Rogue' Navigation NN-603,13237,1.0,jita,C-J6MT,14390000.0,16870000.0,19000.0,20680000.0,1200,-14372200.0,-16852200.0,6288800.0,3808800.0,-0.9986797487353383,-0.9988738204751292,0.43698927122130193,0.22575750391199204,2026-06-12 14:13:40.159517
Medium Core Defense Field Extender II,31796,10.0,jita,C-J6MT,22000000.0,23970000.0,17210000.0,27100000.0,1200,-4802000.0,-6772000.0,5088000.0,3118000.0,-0.21815373432673088,-0.2823784505045451,0.2311466472833,0.1300141772996414,2026-06-12 14:13:40.722627
Republic Fleet Large Shield Extender,31932,20.0,jita,C-J6MT,28130000.0,30500000.0,20560000.0,33370000.0,1200,-7594000.0,-9964000.0,5216000.0,2846000.0,-0.2697307664985437,-0.3264316603328528,0.18526674717624494,0.09323810771851658,2026-06-12 14:13:41.310227
Pithum A-Type EM Shield Amplifier,19231,5.0,jita,C-J6MT,74940000.0,82360000.0,67980000.0,84470000.0,1200,-6966000.0,-14386000.0,9524000.0,2104000.0,-0.09294692178368426,-0.17465944685914092,0.12707816294398633,0.02554452079741641,2026-06-12 14:13:41.131082
Mobile Depot,33474,50.0,jita,C-J6MT,1500000.0,1572000.0,910100.0,2781000.0,1200,-649900.0,-721900.0,1221000.0,1149000.0,-0.4166025641025641,-0.4423406862745098,0.7826923076923077,0.7040441176470589,2026-06-12 14:13:40.989059
Agency 'Overclocker' SB7 Dose III,46006,1.0,jita,C-J6MT,14300000.0,15910000.0,9260000.0,17000000.0,1200,-5041200.0,-6651200.0,2698800.0,1088800.0,-0.35250188795345844,-0.4180200110613907,0.18871143680250607,0.06842978530846196,2026-06-12 14:13:39.653385
Medium Proton Smartbomb II,3939,10.0,jita,C-J6MT,502500.0,1251000.0,500000.0,2294000.0,1200,-14500.0,-763000.0,1779500.0,1031000.0,-0.028182701652089408,-0.604117181314331,3.4586977648202137,0.8163103721298496,2026-06-12 14:13:40.817369
